instId,baseCurrency,quoteCurrency,contractValue,listTime,expireTime,maxLeverage,minSize,lotSize,tickSize,instType,contractType,maxLimitSize,maxMarketSize,state,thresholdX,thresholdY,thresholdZ,settleCurrency
XNY-USDT,XNY,USDT,100,1755086400000,4878180000000,50,1,1,0.000001,SWAP,linear,600000,60000,live,0.04,0.15,0.15,USDT
AIO-USDT,AIO,USDT,10,1755085500000,4878180000000,50,1,1,0.00001,SWAP,linear,1000000,50000,live,0.04,0.1,0.15,USDT
SKY-USDT,SKY,USDT,10,1754908200000,4878180000000,75,1,1,0.00001,SWAP,linear,5000000,500000,live,0.04,0.15,0.15,USDT
CARV-USDT,CARV,USDT,10,1754586000000,4878180000000,50,1,1,0.0001,SWAP,linear,400000,30000,live,0.04,0.15,0.15,USDT
YALA-USDT,YALA,USDT,10,1754585100000,4878180000000,10,1,1,0.00001,SWAP,linear,500000,20000,live,0.04,0.15,0.15,USDT
IN-USDT,IN,USDT,10,1754563800000,4878180000000,50,1,1,0.00001,SWAP,linear,1000000,50000,live,0.04,0.15,0.15,USDT
PROVE-USDT,PROVE,USDT,1,1754414100000,4878180000000,75,1,1,0.0001,SWAP,linear,1500000,150000,live,0.04,0.1,0.15,USDT
TOWNS-USDT,TOWNS,USDT,10,1754405100000,4878180000000,50,1,1,0.000001,SWAP,linear,1500000,200000,live,0.04,0.1,0.15,USDT
NAORIS-USDT,NAORIS,USDT,10,1753965900000,4878180000000,40,1,1,0.00001,SWAP,linear,1500000,100000,live,0.04,0.1,0.15,USDT
A2Z-USDT,A2Z,USDT,100,1753863300000,4878180000000,50,1,1,0.000001,SWAP,linear,1500000,200000,live,0.04,0.1,0.15,USDT
ESPORTS-USDT,ESPORTS,USDT,10,1753784100000,4878180000000,50,1,1,0.00001,SWAP,linear,600000,50000,live,0.04,0.1,0.15,USDT
ZRC-USDT,ZRC,USDT,10,1753783200000,4878180000000,50,1,1,0.000001,SWAP,linear,2500000,200000,live,0.04,0.1,0.15,USDT
TREE-USDT,TREE,USDT,1,1753798500000,4878180000000,75,1,1,0.0001,SWAP,linear,3000000,100000,live,0.04,0.1,0.15,USDT
TAG-USDT,TAG,USDT,1000,1753443000000,4878180000000,50,1,1,0.0000001,SWAP,linear,1500000,15000,live,0.04,0.1,0.15,USDT
ZORA-USDT,ZORA,USDT,10,1753442100000,4878180000000,75,1,1,0.00001,SWAP,linear,2000000,100000,live,0.04,0.1,0.15,USDT
CVX-USDT,CVX,USDT,1,1753271100000,4906853303073,75,1,1,0.001,SWAP,linear,200000,50000,live,0.04,0.04,0.15,USDT
TA-USDT,TA,USDT,10,1753083900000,4878180000000,40,1,1,0.00001,SWAP,linear,700000,200000,live,0.04,0.1,0.15,USDT
ERA-USDT,ERA,USDT,1,1752767100000,4878180000000,75,1,1,0.0001,SWAP,linear,1000000,100000,live,0.04,0.1,0.15,USDT
TAC-USDT,TAC,USDT,100,1752576300000,4878180000000,50,1,1,0.000001,SWAP,linear,500000,30000,live,0.04,0.1,0.15,USDT
VELVET-USDT,VELVET,USDT,10,1752571800000,4878180000000,50,1,1,0.00001,SWAP,linear,1500000,30000,live,0.04,0.1,0.15,USDT
C-USDT,C,USDT,10,1752570900000,4878180000000,50,1,1,0.00001,SWAP,linear,600000,60000,live,0.04,0.1,0.15,USDT
PUMP-USDT,PUMP,USDT,1000,1752230100000,4878180000000,75,1,1,0.000001,SWAP,linear,200000,20000,live,0.04,0.1,0.15,USDT
USELESS-USDT,USELESS,USDT,10,1752154200000,4878180000000,12,1,1,0.00001,SWAP,linear,40000,8000,live,0.04,0.1,0.15,USDT
AIN-USDT,AIN,USDT,10,1752145200000,4878180000000,50,1,1,0.00001,SWAP,linear,400000,90000,live,0.04,0.1,0.15,USDT
M-USDT,M,USDT,10,1751882400000,4878180000000,50,0.1,0.1,0.0001,SWAP,linear,200000,20000,live,0.04,0.15,0.15,USDT
IDOL-USDT,IDOL,USDT,100,1751622900000,4878180000000,50,1,1,0.00001,SWAP,linear,600000,30000,live,0.04,0.15,0.15,USDT
ICNT-USDT,ICNT,USDT,1,1751549400000,4878180000000,50,1,1,0.0001,SWAP,linear,2000000,200000,live,0.04,0.15,0.15,USDT
SAHARA-USDT,SAHARA,USDT,10,1750940100000,4878180000000,50,1,1,0.00001,SWAP,linear,800000,100000,live,0.04,0.1,0.15,USDT
H-USDT,H,USDT,10,1750844700000,4878180000000,50,1,1,0.00001,SWAP,linear,2500000,100000,live,0.04,0.1,0.15,USDT
NEWT-USDT,NEWT,USDT,1,1750775400000,4878180000000,50,1,1,0.0001,SWAP,linear,3000000,500000,live,0.04,0.1,0.15,USDT
SPK-USDT,SPK,USDT,10,1750151700000,4878180000000,75,1,1,0.00001,SWAP,linear,1500000,200000,live,0.04,0.1,0.15,USDT
SQD-USDT,SQD,USDT,10,1749646800000,4878180000000,50,1,1,0.00001,SWAP,linear,500000,20000,live,0.04,0.1,0.15,USDT
RESOLV-USDT,RESOLV,USDT,10,1749563100000,4878180000000,50,1,1,0.00001,SWAP,linear,500000,50000,live,0.04,0.1,0.3,USDT
HOME-USDT,HOME,USDT,10,1749555900000,4878180000000,75,1,1,0.000001,SWAP,linear,500000,400000,live,0.04,0.04,0.3,USDT
LA-USDT,LA,USDT,1,1749114900000,4878180000000,75,1,1,0.0001,SWAP,linear,1000000,100000,live,0.04,0.04,0.3,USDT
BTCDOM-USDT,BTCDOM,USDT,0.001,1749207600000,4878180000000,20,1,1,0.1,SWAP,linear,10000000,100000,live,0.04,0.1,0.3,USDT
ETHBTC-USDT,ETHBTC,USDT,100,1749121200000,4878180000000,25,1,1,0.000001,SWAP,linear,20000,4000,live,0.04,0.1,0.3,USDT
MERL-USDT,MERL,USDT,1,1748444400000,4878180000000,20,1,1,0.00001,SWAP,linear,156985800,100000,live,0.04,0.025,0.3,USDT
SOPH-USDT,SOPH,USDT,100,1748438100000,4878180000000,75,0.1,0.1,0.000001,SWAP,linear,100000,10000,live,0.04,0.04,0.3,USDT
A-USDT,A,USDT,1,1748420100000,4878180000000,75,1,1,0.0001,SWAP,linear,1000000,100000,live,0.04,0.04,0.3,USDT
HUMA-USDT,HUMA,USDT,10,1748266200000,4878180000000,75,1,1,0.000001,SWAP,linear,1000000,170000,live,0.04,0.04,0.3,USDT
B-USDT,B,USDT,10,1747965600000,4878180000000,75,1,1,0.0001,SWAP,linear,400000,20000,live,0.04,0.04,0.3,USDT
AWE-USDT,AWE,USDT,10,1747815300000,4878180000000,40,1,1,0.00001,SWAP,linear,1500000,100000,live,0.04,0.04,0.3,USDT
ZKJ-USDT,ZKJ,USDT,1,1747133100000,4900725696381,40,1,1,0.00001,SWAP,linear,11000000,1100000,live,0.04,0.04,0.3,USDT
DOOD-USDT,DOOD,USDT,100,1746798300000,4878180000000,50,1,1,0.000001,SWAP,linear,1000000,50000,live,0.04,0.04,0.3,USDT
SXT-USDT,SXT,USDT,10,1746710100000,4878180000000,50,1,1,0.00001,SWAP,linear,2000000,20000,live,0.04,0.04,0.3,USDT
SYRUP-USDT,SYRUP,USDT,10,1746609300000,4878180000000,50,1,1,0.00001,SWAP,linear,500000,40000,live,0.04,0.04,0.3,USDT
ALPINE-USDT,ALPINE,USDT,1,1746525600000,4878180000000,50,1,1,0.0001,SWAP,linear,1000000,100000,live,0.04,0.04,0.3,USDT
ASR-USDT,ASR,USDT,1,1746524700000,4878180000000,50,1,1,0.001,SWAP,linear,500000,40000,live,0.04,0.04,0.3,USDT
HAEDAL-USDT,HAEDAL,USDT,10,1746070200000,4878180000000,50,1,1,0.00001,SWAP,linear,1000000,20000,live,0.04,0.04,0.3,USDT
AIOT-USDT,AIOT,USDT,10,1746017100000,4878180000000,40,1,1,0.0001,SWAP,linear,500000,20000,live,0.04,0.04,0.3,USDT
CTK-USDT,CTK,USDT,1,1746017100000,4126089600000,50,1,1,0.0001,SWAP,linear,2500000,100000,live,0.04,0.04,0.3,USDT
PUNDIX-USDT,PUNDIX,USDT,1,1746012600000,4878180000000,50,1,1,0.0001,SWAP,linear,2000000,100000,live,0.04,0.04,0.3,USDT
SIGN-USDT,SIGN,USDT,100,1745840700000,4878180000000,20,1,1,0.00001,SWAP,linear,200000,20000,live,0.04,0.02,0.3,USDT
INIT-USDT,INIT,USDT,10,1745495100000,4878180000000,50,1,1,0.0001,SWAP,linear,2912900,10000,live,0.04,0.02,0.3,USDT
XAUT-USDT,XAUT,USDT,0.001,1745408700000,4878180000000,50,1,1,0.1,SWAP,linear,5000000,50000,live,0.04,0.01,0.01,USDT
HYPER-USDT,HYPER,USDT,1,1745327700000,4878180000000,75,1,1,0.0001,SWAP,linear,5000000,100000,live,0.04,0.04,0.3,USDT
BANK-USDT,BANK,USDT,10,1745038800000,4878180000000,50,1,1,0.00001,SWAP,linear,2000000,200000,live,0.04,0.04,0.3,USDT
EPT-USDT,EPT,USDT,100,1745241300000,4878180000000,40,1,1,0.000001,SWAP,linear,500000,90000,live,0.04,0.04,0.3,USDT
AERGO-USDT,AERGO,USDT,1,1744802100000,4887360000000,50,1,1,0.00001,SWAP,linear,2000000,100000,live,0.04,0.04,0.3,USDT
WCT-USDT,WCT,USDT,1,1744715700000,4878180000000,50,1,1,0.0001,SWAP,linear,2500000,100000,live,0.04,0.04,0.3,USDT
KERNEL-USDT,KERNEL,USDT,1,1744632900000,4130910000000,50,1,1,0.0001,SWAP,linear,3000000,600000,live,0.04,0.04,0.3,USDT
PROMPT-USDT,PROMPT,USDT,10,1744299000000,2521537200000,40,1,1,0.00001,SWAP,linear,1000000,50000,live,0.04,0.02,0.3,USDT
BABY-USDT,BABY,USDT,10,1744283700000,2521537200000,75,1,1,0.00001,SWAP,linear,16666000,100000,live,0.04,0.02,0.3,USDT
FORTH-USDT,FORTH,USDT,1,1744101900000,2521537200000,50,1,1,0.001,SWAP,linear,500000,20000,live,0.04,0.04,0.3,USDT
GUN-USDT,GUN,USDT,10,1743426900000,2521537200000,50,1,1,0.00001,SWAP,linear,10000000,240000,live,0.04,0.04,0.3,USDT
FUN-USDT,FUN,USDT,1,1743414000000,2521900800000,50,1,1,0.000001,SWAP,linear,200000000,25000000,live,0.04,0.04,0.3,USDT
MLN-USDT,MLN,USDT,0.1,1743411600000,2521537200000,50,1,1,0.001,SWAP,linear,900000,90000,live,0.04,0.04,0.3,USDT
WAL-USDT,WAL,USDT,1,1743090300000,2521537200000,75,1,1,0.0001,SWAP,linear,2000000,200000,live,0.04,0.04,0.3,USDT
PARTI-USDT,PARTI,USDT,1,1742908500000,2521537200000,50,1,1,0.00001,SWAP,linear,3000000,300000,live,0.04,0.04,0.3,USDT
NIL-USDT,NIL,USDT,1,1742821800000,2521537200000,50,1,1,0.00001,SWAP,linear,1000000,200000,live,0.04,0.04,0.3,USDT
BANANAS31-USDT,BANANAS31,USDT,100,1742635800000,2521537200000,50,1,1,0.000001,SWAP,linear,2500000,100000,live,0.04,0.04,0.3,USDT
BROCCOLIF3B-USDT,BROCCOLIF3B,USDT,100,1742549400000,2521537200000,40,1,1,0.000001,SWAP,linear,500000,20000,live,0.04,0.04,0.3,USDT
BROCCOLI714-USDT,BROCCOLI714,USDT,100,1742548500000,2521537200000,50,1,1,0.00001,SWAP,linear,200000,20000,live,0.04,0.04,0.3,USDT
BID-USDT,BID,USDT,10,1742463900000,2521537200000,10,1,1,0.00001,SWAP,linear,1500000,150000,live,0.04,0.04,0.3,USDT
TUT-USDT,TUT,USDT,10,1742462100000,2521537200000,50,1,1,0.00001,SWAP,linear,2000000,200000,live,0.04,0.04,0.3,USDT
FORM-USDT,FORM,USDT,1,1742374800000,2499753143000,50,1,1,0.0001,SWAP,linear,600000,300000,live,0.04,0.04,0.3,USDT
