Timestamp,Open,High,Low,Close,Volume,CurrencyVolume,TradeAmount,Flag
1764240300000,2.1888,2.1896,2.1853,2.1878,1013,101336,221703.8744,1
1764239400000,2.1906,2.1906,2.1831,2.1896,2179,217959,476464.141,1
1764238500000,2.1886,2.1946,2.1886,2.1908,1440,144097,315810.5213,1
1764237600000,2.197,2.1976,2.1874,2.1886,1929,192907,422644.3514,1
1764236700000,2.2042,2.2047,2.1952,2.1971,1682,168219,369717.6919,1
1764235800000,2.1977,2.2089,2.1977,2.2042,2072,207282,456980.4207,1
1764234900000,2.1985,2.2046,2.1971,2.1973,1184,118472,260823.2813,1
1764234000000,2.1989,2.201,2.1973,2.1989,844,84408,185656.1286,1
1764233100000,2.1948,2.1992,2.1935,2.1989,863,86386,189703.2767,1
1764232200000,2.1963,2.1999,2.1941,2.1947,1074,107467,236035.7937,1
1764231300000,2.1924,2.197,2.1872,2.1957,3048,304879,668046.6187,1
1764230400000,2.2035,2.2043,2.1921,2.1925,1986,198630,436376.7011,1
1764229500000,2.2034,2.2072,2.2017,2.2034,630,63034,138950.5075,1
1764228600000,2.2108,2.211,2.2015,2.2034,3317,331756,731519.1367,1
1764227700000,2.208,2.2134,2.2068,2.2108,1095,109500,241972.3835,1
1764226800000,2.2085,2.2101,2.2059,2.2081,660,66018,145785.735,1
1764225900000,2.2085,2.2114,2.2059,2.2083,5798,579872,1279824.83,1
1764225000000,2.2106,2.2142,2.2068,2.2085,3341,334144,738534.0489,1
1764224100000,2.2086,2.2124,2.2058,2.2111,2498,249852,551615.6442,1
1764223200000,2.1996,2.2098,2.1996,2.2086,1075,107528,236965.3525,1
1764222300000,2.2026,2.2038,2.1941,2.1996,2806,280633,616988.3938,1
1764221400000,2.2146,2.2146,2.2015,2.2025,3489,348961,770069.7132,1
1764220500000,2.2149,2.2182,2.2086,2.2146,957,95731,211975.6404,1
1764219600000,2.2123,2.2162,2.2106,2.2152,589,58971,130508.9693,1
1764218700000,2.2115,2.2135,2.2086,2.2122,751,75121,166086.0263,1
1764217800000,2.2128,2.2154,2.2097,2.2111,1007,100755,222906.9026,1
1764216900000,2.219,2.219,2.2131,2.2131,927,92770,205653.2581,1
1764216000000,2.2086,2.22,2.2074,2.2191,1372,137255,304026.739,1
1764215100000,2.2092,2.2114,2.2055,2.2089,966,96647,213464.4175,1
