instrument,symbol,base_currency,base_symbol,quote_currency,quote_symbol,instrument_type,contract_type,contract_value,max_leverage,min_size,lot_size,tick_size,digits,max_limit_size,max_market_size,leverage,margin_mode,martingale_factor,bulk_collection_rate,interval_collection_rate,sma_factor,trade_period,trade_timeframe,timeframe_units,trade_state,trade_status,suspense,list_time,expiry_time
681CC8,AVAX-USDT,6719C9,AVAX,350FE2,USDT,SWAP,linear,1,50,0.1,0.1,0.001,4,480000,5200,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
598920,AWE-USDT,D5723E,AWE,350FE2,USDT,SWAP,linear,10,25,1,1,1E-05,6,1500000,10000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/05/21 01:15:00","2124/08/01 03:00:00"
4D4000,AXL-USDT,D38F9A,AXL,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,1000000,600000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/12/07 06:30:05","2029/12/07 05:39:09"
080BDA,AXS-USDT,7B35DA,AXS,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.001,4,39550000,80000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/01/12 02:00:00","2029/11/30 08:00:00"
3454A9,B-USDT,BC3774,B,350FE2,USDT,SWAP,linear,10,50,1,1,0.0001,5,400000,20000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/05/22 19:00:00","2124/08/01 03:00:00"
15AD90,B2-USDT,35AC00,B2,350FE2,USDT,SWAP,linear,1,50,1,1,0.0001,5,1500000,150000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/05/06 06:45:00","2124/08/01 03:00:00"
70F40E,B3-USDT,88B05B,B3,350FE2,USDT,SWAP,linear,100,50,1,1,1E-06,7,800000,160000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/02/13 03:45:00","2049/02/13 01:53:49"
F17934,BABY-USDT,EBD979,BABY,350FE2,USDT,SWAP,linear,10,50,1,1,1E-05,6,16666000,100000,0,cross,0,,,,,,,1697FE,Disabled,0,"2025/04/10 04:15:00","2049/11/26 03:00:00"
EE278B,BADGER-USDT,05F6B5,BADGER,350FE2,USDT,SWAP,linear,0.1,20,1,1,0.0001,5,50000000,48000,0,cross,0,,,,,,,14E7C6,Suspended,1,"2023/11/09 20:30:05","2030/11/09 19:34:02"
CAFEDA,BAKE-USDT,EFD0E3,BAKE,350FE2,USDT,SWAP,linear,1,40,1,1,0.0001,5,5000000,500000,0,cross,0,,,,,,,1697FE,Disabled,0,"2023/10/18 01:30:00","2029/10/10 01:30:00"
