REQUEST,ORDERS,VW_ORDERS,VW_API_REQUESTS
245,295,245,245
REQUEST,,,,,,,,,,,,,,,
Request,"Order Id","Instrument
Position",Action,State,Price,Size,Leverage,"Request
Type","Margin
Mode","Reduce
Only",Memo,"Broker
ID","Create
Time","Expiry
Time","Update
Time"
00E8DB7B464D,00E8DB7B464D,EDDA999DFB4E,buy,E1CB25,0,1875,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/27 09:08:09.913","2025/10/27 17:08:09.913","2025/10/27 09:08:10.196"
00E8DB7AFB3C,00E8DB7AFB3C,EDDA999DFB4E,sell,E1CB25,0,625,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/27 05:54:42.383","2025/10/27 13:54:42.383","2025/10/27 05:54:42.430"
00E8DB7AF1BE,00E8DB7AF1BE,EDDA999DFB4E,sell,E1CB25,0,1250,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/27 05:42:55.141","2025/10/27 13:42:55.141","2025/10/27 05:42:55.270"
D89299B310B4,00E8DB78E3F5,EDDA999DFB4E,sell,E8FCF7,2.55,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/24 16:54:43.999","2025/10/25 00:54:43.999","2025/10/24 16:58:06.534"
6A06BD104D6B,00E8DB78404D,EDDA999DFB4E,sell,E8FCF7,2.85,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/23 22:25:16.631","2025/10/24 06:25:16.631","2025/10/23 22:32:31.864"
FD46980A6FD1,00E8DB781D9C,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/23 16:59:32.531","2025/10/24 00:59:32.531","2025/10/23 17:38:39.344"
5E10B25AD0D1,00E8DB77CE8A,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/23 08:11:06.407","2025/10/23 16:11:06.407","2025/10/23 10:56:29.969"
AB686152CF66,00E8DB76663C,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/21 23:01:17.079","2025/10/22 07:01:17.079","2025/10/21 23:06:37.550"
7563DD92C6AC,00E8DB766569,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/21 22:49:00.134","2025/10/22 06:49:00.134","2025/10/21 22:59:20.826"
014FF3E92088,00E8DB7664F5,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/21 22:45:36.695","2025/10/22 06:45:36.695","2025/10/21 22:47:03.558"
5245C0576371,00E8DB7663EB,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/21 22:34:58.383","2025/10/22 06:34:58.383","2025/10/21 22:42:42.409"
2BEAA0E66CB3,00E8DB765413,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/21 20:30:16.344","2025/10/22 04:30:16.344","2025/10/21 22:34:00.580"
E70FE84A583A,00E8DB762089,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/21 15:54:33.925","2025/10/21 23:54:33.925","2025/10/21 20:28:49.124"
CE1640875E25,00E8DB7574FE,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/21 08:25:08.886","2025/10/21 16:25:08.886","2025/10/21 13:53:11.170"
C667CF77D4B0,00E8DB752052,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/21 05:08:10.699","2025/10/21 13:08:10.699","2025/10/21 05:53:01.158"
029E31375212,00E8DB74ACA2,EDDA999DFB4E,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/20 14:17:40.809","2025/10/20 22:17:40.809","2025/10/20 14:49:51.803"
A65052A5D751,00E8DB736F03,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/19 05:40:57.785","2025/10/19 13:40:57.785","2025/10/19 05:48:41.280"
169250BF3388,00E8DB7311B1,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/18 19:13:15.103","2025/10/19 03:13:15.103","2025/10/18 19:15:47.171"
618557EFB01D,00E8DB731163,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/18 19:03:56.751","2025/10/19 03:03:56.751","2025/10/18 19:06:42.455"
E0343B4A002E,00E8DB730F30,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/18 18:16:39.318","2025/10/19 02:16:39.318","2025/10/18 18:41:59.999"
90E5989D33AA,00E8DB72F71B,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/18 13:48:16.103","2025/10/18 21:48:16.103","2025/10/18 17:59:08.628"
01FD417529FC,00E8DB72F446,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/18 13:14:49.760","2025/10/18 21:14:49.760","2025/10/18 13:22:33.534"
76233299515C,00E8DB72EE2D,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/18 12:10:30.008","2025/10/18 20:10:30.008","2025/10/18 12:18:13.511"
307734B957A1,00E8DB72EC0C,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/18 11:46:14.827","2025/10/18 19:46:14.827","2025/10/18 11:54:45.594"
49631715BB6F,00E8DB72EB68,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/18 11:31:12.497","2025/10/18 19:31:12.497","2025/10/18 11:43:51.053"
50085FCD1B3C,00E8DB72E825,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/18 11:08:53.086","2025/10/18 19:08:53.086","2025/10/18 11:28:59.938"
87E5C5B08EB7,00E8DB72DD69,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/18 09:19:12.219","2025/10/18 17:19:12.219","2025/10/18 11:06:18.829"
E140142BE6EC,00E8DB72CA8F,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/18 07:17:07.712","2025/10/18 15:17:07.712","2025/10/18 07:28:55.088"
116E7C38EC68,00E8DB7272A4,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/17 13:52:50.040","2025/10/17 21:52:50.040","2025/10/17 13:55:14.738"
E091B8C9981C,00E8DB7108C0,EDDA999DFB4E,sell,E8FCF7,3.05,100,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/16 12:54:06.409","2025/10/16 20:54:06.409","2025/10/16 15:08:20.267"
5867F3601ACE,00E8DB71075B,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/16 12:51:40.931","2025/10/16 20:51:40.931","2025/10/16 15:08:20.261"
A2CB347089EC,00E8DB703DBE,EDDA999DFB4E,sell,E8FCF7,2.85,1000,50,B83296,cross,1,"[Info] Orders.Publish: History updated; order imported",,"2025/10/16 05:29:12.701","2025/10/16 13:29:12.701","2025/10/16 05:38:12.780"
