REQUEST,ORDERS,VW_ORDERS,VW_API_REQUESTS
332,357,332,332
REQUEST,,,,,,,,,,,,,,,
Request,"Order Id","Instrument
Position",Action,State,Price,Size,Leverage,"Request
Type","Margin
Mode","Reduce
Only",Memo,"Broker
ID","Create
Time","Expiry
Time","Update
Time"
9C9D60C23450,00E8DB6BE036,119BB09507BD,sell,E8FCF7,3.5,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/13 04:53:46.390","2025/10/13 12:53:46.390","2025/10/13 05:00:32.429"
448DED724226,00E8DB6B6B91,119BB09507BD,sell,E8FCF7,3.5,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/12 19:35:53.665","2025/10/13 03:35:53.665","2025/10/12 19:43:08.699"
D69BB9C29D13,00E8DB65A248,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/10 08:13:25.008","2025/10/10 16:13:25.008","2025/10/10 12:12:05.813"
9B69D051A00D,00E8DB64AF7D,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/10/09 13:35:30.992","2025/10/09 21:35:30.992","2025/10/10 05:49:06.790"
00F06B519851,00E8DB427532,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/09/04 00:35:52.642","2025/09/04 08:35:52.642","2025/09/04 00:48:13.237"
00B3CA7353EC,00E8DB426DC9,119BB09507BD,sell,E8FCF7,2.95,100,50,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/09/03 23:06:29.820","2025/09/04 07:06:29.820","2025/09/03 23:07:46.383"
00F036724C36,00E8DB426D21,119BB09507BD,sell,E8FCF7,2.95,100,10,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/09/03 22:58:50.535","2025/09/04 06:58:50.535","2025/09/03 23:00:15.317"
00345EC27790,00E8DB426CDA,119BB09507BD,sell,E8FCF7,2.95,100,10,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/09/03 22:52:38.874","2025/09/04 06:52:38.874","2025/09/03 22:54:26.296"
006BFD05641A,00E8DB426CAA,119BB09507BD,sell,E8FCF7,2.95,100,10,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/09/03 22:47:33.013","2025/09/04 06:47:33.013","2025/09/03 22:49:13.063"
00E31E5182E2,00E8DB426B85,119BB09507BD,sell,E8FCF7,2.95,100,10,B83296,cross,1,"[Info] Orders.Publish: Order missing; was recieved from Blofin; submitted and processed",,"2025/09/03 22:32:25.909","2025/09/04 06:32:25.909","2025/09/03 22:49:13.065"
